objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,hiddennotes
oh-011,,omW368seuqM,,Dennis Nordin Short Interview,Dennis Nordin,2015,"In this brief, five minute interview completed after a community forum in 2015, Dennis Nordin, a self-proclaimed ""Yankee"" from Chicago recalls his memories of the Evans Shoe Shine Parlor in downtown Starkville and of Richard Holmes' integration of Mississippi State University.",Desegregation in Higher Education;Civil Rights-Mississippi-Starkville;Civil Rights-Public Opinion;African American Young Men;African American Businessmen,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-012,,421kpdy40xc,,Emil Lovely Short Interview,Emil Lovely,2105,"In this brief interview, Emil Lovely recalls growing up in segregated Starkville and remarks on some of the current racial tensions in the city.",Segregation;Integration,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-013,,svhEjUBwcHY,,"Carmen Haynes, Pam Hunt, and Rosemary Cuicchi",Carmen Haynes;Pam Hunt;Rosemary Cuicchi,2015,,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-014,,9OXZdA9CEaU,,Wesley and Cathy Jones Interview,Wesley Jones;Cathy Jones,2016,,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-015,,xWwYsni7xlE,,Fred Haley Interview,Fred Haley,,,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-016,,_OI1fsHh410,,Larry Box Interview,Larry Box,2016,"Larry Box talks about his about parentsÃ¢â‚¬â„¢ careers in education and how he became an educator himself. He discusses working as a teacher in Columbus and at Starkville High School, a principal at Sudduth Elementary School and Henderson High School, and superintendent of the Starkville Public School District. He also talks about the integration of Starkville Public Schools and the changes it brought to schools. Larry also speaks about the changes he has seen in Starkville throughout the years.",Education - Mississippi;Integration in Education,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-017,,g3A6sbKPLAU,,James (Jim) Hemphill,James (Jim) Hemphill,2016,"Jim Hemphill recalls his time as a teacher and then administrator in the Starkville public school system during the time of integration. He discusses the leadership of Paul Armstrong and Fenton Peters and how they were instrumental in the process, the physical characteristics of the schools he worked in, the attitudes of students, school staff, and parents, and the creation of Starkville Academy. Hemphill also discusses leadership within Starkville outside the school system and how the community was able to avoid violent conflicts.",Segregation; Integration in Education; Education; African American Leaders; African American Community,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-018,,RZestELf52I,,"Edith Cameron ""Cam"" McMillen",Cam McMillen,2017,"Cam speaks about growing up in Arkansas, and later moving to Mississippi and Ohio. She compares race relations in the different places she has lived. She talks about segregation and integration in Starkville's Public Schools and at Mississippi State University. She also shares stories about how she and other Starkville citizens supported integration.",Integration;Segregation;Education;Mississippi;Civil Rights Activists,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-019,,3CUUtG1GS3Y,,Deloris Perry-Powers Interview,Deloris Perry-Powers,2017-02-10,"Deloris Perry-Powers discusses growing up in Starkville to moving to Connecticut as a young adult. She shares fond memories of attending Henderson High School, but also notes how segregation affected her. Perry-Powers also recalls the uncertainty she felt moving from rural Starkville to urban Connecticut and how racial attitudes were more accepting there",African American Children;Education; Segregation; African American High School Students; Education;Mississippi; African American Community,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-020,,_GS3pp91KNI,,James Graham Interview,James Graham,2015,"James Graham gives us a personal account about his growing up as a black man in Mississippi and a Freedom Worker. He tells us about his faith, the verbal and physical racial violence that he has encountered, his hopes, and the progress that he has witnessed. His story is one of courage and endurance.",Civil Rights;Violence ;Civil Rights;Moral and Ethical Aspects;African American Men;African American;Civil Rights--Political Activity;Integration in Education;African American Leaders;African American Leadership;African American Families; Civil Rights;Mississippi;Starkville;Civil Rights;Social Aspects;Civil Rights;Public Opinion;Segregation;Integration;African American Women;African American Children;Education,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-021,,H1heDgyfxrA,,Janette Self Interview,Janette Self,2017,,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-022,,FMmf5Noy7zg,,Minnie McCarter Interview,Minnie McCarter,2015,Minnie McCarter talks about her experiences going to school in both segregated and integrated settings and her memories of her mother's involvement in Starkville's Biracial Committee as well as protests and boycotts that occurred in Starkville.,African American Children;Education; African American Women;Civil Rights; African American Leaders,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-023,,bBV4XQ1D2lE,,Nancy Bardwell Interview,Nancy Bardwell,2014,Nancy talks about growing up in Starkville and her experiences in the city's segregated schools and as a member of the first integrated class at Starkville High School.,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-024,,6pEBqS3CBG8,,Rex Buffington Interview,Rex Buffington,2014,"Rex Buffington discusses integration in Meridian, Mississippi and his involvement in politics as a journalist and with schools in Starkville, Mississippi. In the second half of the interview, Buffington speaks extensively about both the 1990s and 2015 plans to consolidate the Starkville School District with the Oktibbeha County School District.",Segregation in Education; Integration in Education; African American Students; Education;Mississippi; Mississippi;Race Relations,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-025,,H0Uc6HGOPjQ,,Sam Love Interview,Sam Love,2016,"Sam, a Mississippi State University alum, recalls the civil rights movement and the process of integration at MSU. He talks about his work for the campus newspaper, The Reflector, and his involvement in the Young Democrats, the YMCA as well as what inspired him to become an activist. He discusses important events that happened during his time as a student that helped further racial equality on campus.",Civil Rights--Activists;Integration in Education;Civil Rights;Protests,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-026,,kqO26Vf6Ldw,,Shirley Hanshaw Interview,Shirley Hanshaw,2015,"Dr. Shirley Hanshaw talks about her family's long history in Oktibbeha County, and their many contributions to the local African American community. She also talks of her experiences as a student at the Rosenwald School in Oktibbeha County, at Henderson High in Starkville, and as a college student at Tougaloo College. She reflects on being asked to be the first African American to desegregate Mississippi State. She also reflects on the past and current state of race relations in Starkville and America.",African American Children--Education; African American Women--Civil Rights,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-027,,dNE_KyWAbrc,,Willie Johnson Interview,Willie Johnson,2015,"Willie Johnson shares about being an African American growing up in segregated Starkville, his involvement in the protests in Starkville during the late-1960s, and being the first African American hired by the Starkville Fire Department and subsequent rising to the position of Fire Chief.",African American High Schools;African American High School Students;African American Students;Education-Mississippi;Segregation;Integration ;Civil Rights Activists;Civil Rights-Starkville;Civil Rights-Protest,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
coll-scr-001,starkville-negro-school-mdah.png,,,"School Photographs (Mississippi), 1920s-1980s",,1952-1972,Photograph of Starkville Negro School,,,,,"Digital Archives, Series 1896: School Building Slides: 1952-1972, Courtesy of the Archives and Records Services Division, Mississippi Department of Archives and History",,Image; Photograph,image/jpeg,,,,
coll-scr-002,1963-msu-basketball-vs-loyola.jpg,,,"""Game of Change"" captains' handshake",Associated Press,1963,Handshake before tip-off between Stan Brinker (Mississippi State) and Vic Rouse (Loyola),,,,,Associated Press,,Image; Photograph,image/jpeg,,,,
coll-scr-003,img-15-53-02-271.pdf,,,Richard Holmes' Yearbook Photo,Mississippi State University Revielle,1966,1965-66 Yearbook Page with Richard Holmes' picture among his white classmates.,,,,,"Mississippi State University Libraries, University Archives",,Image; Photograph,application/pdf,,,,
coll-scr-004,Kwame_Ture.jpg,,,Kwame Ture (Stokely Carmichael) at a 1966 Mississippi press conference,unknown,1966,Kwame Ture at a 1966 Mississippi press conference,,,,,Wikimedia Commons,,Image; Photograph,image/jpeg,,,,replacing Stokely Carmichael image from original website (media no longer available)
coll-scr-005,charles-evers-speech.pdf,,,"Charles Evers Speech March 9, 1970",Al Roughton;Charles Evers,1970-03-09,"Charles Evers' speech at Mississippi State University, hosted by the MSU Young Democrats",Civil rights; Mississippi; Starkville (Miss.),,,,"Mississippi State University Libraries, University Archives",,Image; Speech,application/pdf,,,,
coll-scr-006,Reflector-19711214-black-santa.pdf,,,"Stikes, Dorms, Union, and YMCA",unknown,1971-12-14,"Article about holiday programming, including a black Santa at YMCA Christmas party, with picture included",Civil rights; Mississippi; Starkville (Miss.),,,,"Reflector, University Archives, Mississippi State University Libraries",,Text; newspaper,application/pdf,,,,seems arbitrary in the section it's in
coll-scr-007,1969_YellowJacket_Students.jpg,,,"Graduating class of 1969, Starkville High School",unknown,1969,"Image of the 1969 graduating class of Starkville High School, the year before the school was ordered to desegregate, which shows no black students",Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-008,1969_YellowJacket_MrMrsSHS.jpg,,,Mr. and Miss Starkville High School,unknown,1969,"Image from 1969 Yellow Jacket of Buddy Staggers and Susie Moore, voted Mr. and Mrs. Starkville High School",Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-009,1969_YellowJacket_OldSouthBanquet.jpg,,,Old South Banquet Program,unknown,1969,"Image from 1969 Yellow Jacket of a program for the Junior-Senior Banquet and Dance, themed ""Old South""",Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-010,1971_YellowJacket_HomecomingCourt1970.jpg,,,Homecoming Court 1970,unknown,1971,"Image from the 1971 Yellow Jacket Yearbook of 1970 Homecoming court, featuring 12 young women on a staircase, 2 of whom were black, and 10 of whom were white.",Integration in Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-011,1971_YellowJacket_MostOutstandingSeniors.JPG,,,Most Outstanding Seniors,unknown,1971,"Image from the 1971 Yellow Jacket Yearbook of 4 senior students, 2 black students, Vera Roberson and Henry Vaughn, and 2 white students, Reed Hillen and Angie Reed.",Integration in Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-012,1971_YellowJacket_BiracialCommittee2.jpg,,,Bi-Racial Committee,unknown,1971,"Image from the 1971 Yellow Jacket yearbook of black and white students in the Bi-racial committee, with a caption that reads ""The Bi-Racial Committee was a very active and decisive factor in our success as a unitary school.""",Integration in Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
coll-scr-013,1971_YellowJacket_LandmarkYear.jpg,,,1971-- A Landmark Year...,unknown,1971,Image from the 1971 Yellow Jacket Yearbook of the front of Starkville High School in 1971.,Integration in Education; Starkville (Miss.),,,,"Yellow Jacket Yearbook, 1969. From the personal collections of Cattie Taylor",,Image; Photograph,image/jpeg,,,,
oh-028,,jSEmL10Y8-I,,Experiences of Integration,Minnie McCarter,2015-10-22,Minnie McCarter recalls her experience with an integrated student body at Starkville High School,Integration in Education; Starkville (Miss.),,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-029,,bnirNNFsVIk,,Nancy Bardwell recalls the first year of integration,Nancy Bardwell,2015-10-27,Nancy Bardwell recalls the first year of integration,Integration in Education; Starkville (Miss.),,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-030,,6h1IOgfaiTQ,,"Chris Taylor remembers integration, year 1",Chris Taylor,2015-10-27,"Chris Taylor remembers integration, year 1",Integration in Education; Starkville (Miss.),,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-031,,eLatH9XizSw,,"Rex Buffington recalls integration in Meridian, MS",Rex Buffington,2015-10-27,"Rex Buffington recalls integration in Meridian, MS",Integration in Education; Meridian (Miss.),,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-032,,GJ-kHGzQF3Y,,Chuck Ware discusses why it might have been difficult to integrate public schools.,Chuck Ware,2015,Chuck Ware discusses why it might have been difficult to integrate public schools.,Integration in Education; Starkville (Miss.),,,,,,,,,,,
coll-scr-014,Lowry_PublicEducationResolution.jpg,,,Public Education Resolution Presented,"Stevens, Starkville Daily News Staff",1970,Charles Lowery and other leaders of the Citizen’s Committee for Public Education present their petition supporting the local public schools to the Starkville School Board; 1100 residents had signed the petition. ,Integration in Education; Starkville (Miss.),,,,Starkville Daily News. From the personal collections of Charles and Susie Lowery.,,Image; Photograph,image/jpeg,,,,
oh-033,,l3L_h2b9_ZQ,,Willie Johnson remembers the student protests,Willie Johnson,2015,Willie Johnson remembers the student protests that led up to the 1970-1971 desegregation of public schools.,,,,,,,,,,,,
coll-scr-015,NYT-1.5.1970-Exodus-Seen-as-Threat.pdf,,,Exodus Seen as Threat to the System on Eve of Integration Move,James T. Wooten,1970-01-05,New York Times article on the decision of white students to enroll in private schools on the eve of desegregation.,Segregation in Education,,,,New York Times,,Text; Newspaper,application/pdf,,,,
coll-scr-016,SchoolDesegregationMeeting.pdf,,,School desegregation meeting,unknown,1969-09-10,"Handwritten minutes of a meeting of the plaintiffs in the Oktibbeha County school desegregation case. Issues discussed were the bus system, the status of black teachers in white schools, and problems being faced.",Civil rights; Mississippi; Starkville (Miss.); School integration; Segregation,,,,"Mississippi State University Libraries, Douglass Conner Papers",,Image; Photograph,application/pdf,,,,
coll-scr-017,NYT-7.16.1964-Student-Grants-Set-in-Mississippi.jpg,,,Student Grants Set in Mississippi,unknown,1964-07-16,"Newspaper article on Paul B. Johnson's, Mississippi Governor, request to allow students to withdraw from desegregated classrooms.",Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-018,NYT-6.12.1969-Citizens-Councils-In-Schools-Drive.jpg,,,Citizens Councils in Schools Drive,Homer Bigart,1969-06-12,"Newspaper article about the Citizen's Council, a segregationist organization headquartered in Mississippi, organizing to run private schools in response to desegregation orders.",Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,"small, hard to read"
coll-scr-019,CT-11.4.1969-Seek-to-Avoid-School-Order-in-Mississippi.jpg,,,Seek to Avoid Order in Mississippi,Casey Banas,1969-11-04,Newspaper article about predictions of backlash in Mississippi from federal desegregation orders,Segregation in Education,,,,Chicago Tribune,,Text; Newspaper,image/jpeg,,,,
coll-scr-020,NYT-1.1.1970-New-Delay-Asked-in-Desegregation.jpg,,,New Delay Asked in Desegregation,Fred P. Graham,1970-01-01,Newspaper article about the Justice Department's request to the Supreme Court to allow Misssissippi schools (along with schools from 5 other states) to delay desegregation by a semester.,Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-021,NYT-1.2.1970-Mississippi-Clerics-Back-Integration.jpg,,,Mississippi Clerics Back Integration,unknown,1970-01-02,"Newspaper article about a statement by Mississippi religious leaders in protestant, Catholic, and Jewish places of worship to support integration",Segregation in Education; Integration in Education; Civil Rights--Mississippi; Civil Rights--Moral and Ethical Aspects,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-022,CT-1.4.1970-Mississippi-Faces-School-Desegregation-Decision-Tomorrow.jpg,,,Mississippi Faces School Desegregation Decision Tomorrow,unknown,1970-01-04,"Newspaper article about the Supreme Court mandate for Mississippi schools to ""desegregate now.""",Segregation in Education,,,,Chicago Tribune,,Text; Newspaper,image/jpeg,,,,
coll-scr-023,NYT-1.4.1970-Governor-of-Mississippi.jpg,,,Governor of Mississippi Backs Private Schools,unknown,1907-01-04,"Newspaper article about Mississippi Governor John Bell Williams' attempts to create a ""workable alternative"" to total integration of schools",Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-024,CT-1.5.1970-Mass-Exodus-Hits-Schools-in-Mississippi.jpg,,,Mass Exodus Hits Schools in Mississippi,unknown,1970-01-05,Newspaper article about the threat to the public school system in Mississippi resulting from white students leaving for private schools,Segregation in Education,,,,Chicago Tribune,,Text; Newspaper,image/jpeg,,,,
coll-scr-025,NYT-1.6.1970-Souths-New-White-Schools.jpg,,,South's New White Schools May Face a U.S. Tax Move,John Herbers,1970-01-06,"Excerpt from a newspaper article about a proposed tax exemption for private schools, which were established in response to desegregation orders",Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-026,NYT-1.7.1970-Mississippi-Blacks.jpg,,,Mississippi Blacks Scoff at Whites' Plans for Schools,Thomas A. Johnson,1970-01-07,Newspaper article about activists against the white backlash to desegregation orders in Mississippi public schools,Segregation in Education;Civil Rights Activists,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-027,NYT-3.8.1970-Mississippi-Advances-Bills.jpg,,,Mississippi Advances Bills to Aid Whites Fleeing Public Schools,unknown,1970-03-08,Newspaper article about the tax relief bill for private schools advancing in the Mississippi legislature,Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-028,NYT-6.12.1970-Mississippi-Banks.jpg,,,Mississippi Banks Assisting Segregated Schools,Roy Reed,1970-08-27,"Newspaper article about a coalition of bankers in Jackson, Mississippi granting a loan to the Citizens Council for funding 5 private schools in Jackson.",Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-029,TWP-8.16.1970-1-Courts-Ending-Dual-School-System.jpg,,,"Courts Ending Dual School System, But South's Whites Set Up New One",Peter Milius,1970-08-16,Excerpt from a newspaper article about the effects of establishing private schools amidst desegregation orders,Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-scr-030,NYT-9.4.1970-White-Academy-Gets-Public-Texts.jpg,,,White Academy Gets Public Texts,Jack Rosenthal,1970-09-04,Newspaper article about the investigation of a public school system transfering 800 textbooks to a newly established segregation academy,Segregation in Education,,,,New York Times,,Text; Newspaper,image/jpeg,,,,
coll-msu-062,A85-120_FF08-2.pdf,,,Turnrow Talks,O.C. Shipp,1963-03-14,Editorial in favor of permitting the MSU men's basketball team to play in an integrated NCAA tournament,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; Newspaper,application/pdf,,,,
coll-msu-063,A85-120_FF08-3.pdf,,,Mississippi State's Possible Opponent at NCAA Tourney,unknown,1963-03-07,"Clipped image from the Jackson Daily News of the Loyola University of Chicago's starting players of the men's basketball team, which included white and black players.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Image; Newspaper,application/pdf,,,,
coll-msu-064,A85-120_FF08-5.pdf,,,"Letter to D. W. Colvard from LW West, Florence, Mississippi",L. W. West,,"The letter enclosed is a handout called ""What you can do as an individual to preserve white America!!"" that includes a handwritten note on it.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-065,negro-neighborhoods_1947-1975.pdf,,,"Negro Neighborhoods 1947, 1975 And All Subsidized Housing, 1975","American Pub., Inc.",1975,"A map showing Starkville’s Black Neighborhoods in 1947 and 1975. The map also includes a showing on White, Low Rent, Neighborhoods in 1975. From Luceille Liston Mitlin, “The Historical Development of Land Use in Starkville, MS, A Small University City,” (MA Thesis: Mississippi State University, 1975)",Race relations; Oktibbeha County (Miss.),Starkville (Miss.),,,"Special Collections, University Archives, Mississippi State University Libraries.",,Image; Map,application/pdf,,,,
coll-msu-066,starkville-racial-dot-map-2010.JPG,,,"Starkville Racial Dot Map, 2010",,2016,"A map showing Starkville and Oktibbeha county's racial demographics among white, black, Asian, Hispanic, and other races, according to the 2010 census.",Race relations; Oktibbeha County (Miss.),Starkville (Miss.),,,"The Racial Dot Map, demographics.coopercenter.org/DotMap/",,Image; map,image/jpeg,,,,
coll-msu-067,weir-marszalek_black-businessman_AfAmStarkville.JPG,,,"African American Starkville, ca. 1960-74",Sadye Wier; John Marszalek,1977,A map showing black-owned businesses in downtown Starkville and the surrounding communities.,Race relations; Oktibbeha County (Miss.),Starkville (Miss.),,,"A Black Businessman in White Mississippi, University Press of Mississippi",,Image; map,image/jpeg,,,,
coll-scr-031,oral-history-LP.pdf,,,Oral History Presentation,Christine Dunn,,"This lesson discusses the difference between primary and secondary sources, guiding students through the website to illustrate the difference.",,,,,,,InteractiveResource; Presentation,application/pdf,,,,
coll-scr-032,oral-history-lesson-plan-1.pdf,,,Oral History Lesson Plan,Christine Dunn,,"This lesson discusses the difference between primary and secondary sources, guiding students through the website to illustrate the difference.",,,,,,,Text,application/pdf,,,,
coll-scr-033,starkville-integration-lesson-plan-1.pdf,,,Starkville Integration Lesson Plan,Christine Dunn,,"This lesson briefly covers Brown v Board, as well as de jure and de facto segregation, guiding students through the website and interviews to give them a fuller understanding of the issues surrounding integration.",,,,,,,Text,application/pdf,,,,
coll-scr-034,integration-worksheet.pdf,,,Starkville Integration Worksheet,Christine Dunn,,"This lesson briefly covers Brown v Board, as well as de jure and de facto segregation, guiding students through the website and interviews to give them a fuller understanding of the issues surrounding integration.",,,,,,,Text,application/pdf,,,,
coll-scr-035,starkville-integration-LP.pdf,,,Starkville Integration Presentation,Christine Dunn,,"This lesson briefly covers Brown v Board, as well as de jure and de facto segregation, guiding students through the website and interviews to give them a fuller understanding of the issues surrounding integration.",,,,,,,InteractiveResource; Presentation,application/pdf,,,,
coll-scr-036,jim-crow-laws-LP.pdf,,,Jim Crow Laws Lesson Plan,Christine Dunn,,This lesson briefly covers Jim Crow. The lesson plan asks students to examine how de jure segregation affected daily life in Starkville through the use of the website and interviews.,,,,,,,InteractiveResource; Presentation,application/pdf,,,,
coll-scr-037,SCRM-primary-source-Tchart-schooling-comparison.pdf,,,T-chart Schooling comparison activity,Paul Binford,,"This lesson uses a t-chart to compare the first-hand exprience of Bobby Bardwell, who attended segregated schools in 1960s, to experiences of current day students.",,,,,,,Text,application/pdf,,,,
coll-scr-038,SCRM-first-african-american-to-attend-MSU-headline-lead-activity.pdf,,,Headline and Lead Activity,Paul Binford,,"In this lesson, students assume the role of reporter and listen to an interview in order to write a news story about Richard Holmes, the first African American Student to attend Mississippi State University",,,,,,,Text,application/pdf,,,,
coll-scr-039,SCRM-richard-holmes-formative-years-worksheet.pdf,,,Dr. Richard E. Holmes' Formative Years - A Biographical Sketch,Paul Binford,,"In this lesson, students complete a biographical sketch of Richard Holmes by listening to his oral history interview.",,,,,,,Text,application/pdf,,,,
coll-scr-040,SCRM-conducting-an-interview.pdf,,,Conducting an Interview Activity,Paul Binford,,Template for conducting an oral history interview for the Starkville Civil Rights project.,,,,,,,Text,application/pdf,,,,
